Date,Open,High,Low,Close,Adj Close,Volume
3/7/07,143.244003,147.171997,136.460007,141.537994,80.119057,12134189
3/8/07,143.742004,148.514008,142.764999,146.951996,83.183701,11198958
3/9/07,148.503998,149.932007,142.783997,145.093002,82.131409,5779959
3/12/07,145.112,148.322006,144.776993,146.539993,82.950478,5192730
3/13/07,146.789001,149.223007,145.121994,148.149994,83.861839,3683519
3/14/07,138.453003,145.639008,135.817993,142.505997,80.667,8746359
3/15/07,143.723007,146.098999,138.559006,139.113998,78.74691,5200119
3/16/07,140.100998,144.298004,140.100998,143.388,81.166267,5614542
3/19/07,143.914993,148.503998,143.339996,147.880997,83.709587,3248599
3/20/07,148.369995,149.662994,145.735001,147.412003,83.444099,5171199
3/21/07,147.938995,149.242004,145.686996,148.667007,84.154495,6456631
3/22/07,149.662994,155.412003,149.298996,154.281998,87.332932,6740515
3/23/07,154.453995,154.453995,150.238007,151.302002,85.64608,6502954
3/26/07,142.764999,151.561005,142.764999,144.212006,81.632706,12843085
3/28/07,143.723007,143.914993,137.207993,137.897003,78.058037,13330314
3/29/07,139.688995,143.406998,133.873001,137.294006,77.716698,21538335
3/30/07,138.548996,140.464996,137.302994,139.544998,78.990898,6832834
4/2/07,136.248993,136.248993,126.677002,128.565002,72.775551,15760343
4/3/07,130.251007,131.429993,128.584,130.576996,73.914474,10731454
4/4/07,131.477997,132.406998,128.220001,130.845001,74.066162,10438129
4/5/07,130.309006,133.134995,130.136002,131.477997,74.4245,11951145
4/9/07,132.225006,136.009995,132.225006,134.850006,76.333244,6771920
4/10/07,136.345001,139.046997,135.712997,138.270996,78.269737,10853496
4/11/07,138.270996,140.082001,136.757004,138.511002,78.405586,7524325
4/12/07,137.744003,137.781998,135.492004,136.518005,77.277435,7159874
4/13/07,136.843002,139.410995,134.908005,139.181,78.784851,8635014
4/16/07,140.848007,144.662003,139.889999,143.770996,81.383072,6822658
4/17/07,143.914993,145.927002,139.507004,140.005005,79.251289,12872730
4/18/07,136.296997,141.998001,136.296997,138.453003,78.372765,3659202
4/19/07,137.399002,138.395996,134.945999,136.651993,77.353271,7962444
4/20/07,138.356995,140.550995,137.992996,138.529999,78.416351,5690600
4/23/07,139.832993,140.598999,137.016006,137.619995,77.901222,5306997
4/24/07,139.660004,144.488998,138.951004,142.113007,80.44455,10900597
4/25/07,143.742004,147.067001,143.733002,145.457001,82.33744,11846532
4/26/07,148.897003,151.358994,143.244003,146.904007,83.156548,11053663
4/27/07,147.201004,148.399002,141.615005,143.598007,81.285149,9948119
4/30/07,141.835007,145.830994,140.274002,144.057999,81.545525,7451148
5/3/07,149.472,149.472,139.718002,140.483994,79.52243,11471044
5/4/07,140.656998,142.707001,139.123993,140.177994,79.349213,7133673
5/7/07,140.848007,142.382004,137.705994,139.565002,79.00222,9465357
5/8/07,139.565002,140.848007,137.983994,138.951004,78.654655,3752856
5/9/07,139.889999,140.177994,136.632996,138.597,78.454269,6198885
5/10/07,139.526001,140.608994,136.440994,136.987,77.542915,5171737
5/11/07,136.632996,138.136993,132.225006,137.227005,77.678772,7831145
5/14/07,139.641006,139.852005,135.884995,137.054001,77.580841,5489682
5/15/07,137.572006,137.955002,136.632996,136.891006,77.488571,3411011
5/16/07,137.016006,141.404007,137.016006,140.781006,79.690552,5151150
5/17/07,144.623993,145.026001,141.231995,143.837997,81.420998,8039854
